DEPTH;MEASURED;DELTA;OBSERVED;TRANSIT;DELTA2;ACOUSTIC
;;14,9;;;0,0015;10216
3047;2688,8;;0,3215;0,3727;;
;;14,9;;;0,0015;10283
3061,9;2704,5;;0,323;0,3742;;
;;14,9;;;0,0015;10228
3076,9;2720,2;;0,3244;0,3756;;
;;14,9;;;0,0015;10061
3091,8;2735,9;;0,3259;0,3771;;
;;14,9;;;0,0015;9848
3106,7;2751,6;;0,3274;0,3786;;
;;14,9;;;0,0015;9695
3121,6;2767,3;;0,3289;0,3802;;
;;14,9;;;0,0015;9653
3136,5;2783;;0,3304;0,3817;;
;;14,9;;;0,0015;9700
3151,5;2798,7;;0,332;0,3833;;
;;14,9;;;0,0015;9792
3166,4;2814,4;;0,3335;0,3848;;
;;14,9;;;0,0015;9879
3181,3;2830,1;;0,335;0,3863;;
;;14,9;;;0,0015;9954
3196,2;2845,8;;0,3365;0,3878;;
;;14,9;;;0,0015;10004
3211,2;2861,5;;0,338;0,3893;;
;;14,9;;;0,0015;10077
3226,1;2877,2;;0,3394;0,3908;;
;;14,9;;;0,0015;10202
3241;2892,9;;0,3409;0,3922;;
;;14,9;;;0,0014;10344
3256;2908,6;;0,3423;0,3937;;
;;15;;;0,0014;10416
3270,9;2924,3;;0,3438;0,3951;;
;;15;;;0,0014;10362
3285,9;2940;;0,3452;0,3966;;
;;15;;;0,0015;10229
3300,9;2955,7;;0,3467;0,398;;
;;15;;;0,0015;10052
3315,9;2971,4;;0,3482;0,3995;;
;;15;;;0,0015;9886
3330,8;2987,1;;0,3497;0,401;;
;;15;;;0,0015;9769
3345,8;3002,8;;0,3512;0,4026;;
;;15;;;0,0015;9742
3360,8;3018,5;;0,3527;0,4041;;
;;15;;;0,0015;9766
3375,8;3034,2;;0,3543;0,4056;;
;;15;;;0,0015;9819
3390,7;3049,9;;0,3558;0,4072;;
;;15;;;0,0015;9902
3405,7;3065,6;;0,3573;0,4087;;
;;14,9;;;0,0015;10011
3420,6;3081,3;;0,3588;0,4102;;
;;14,9;;;0,0015;10166
3435,6;3097;;0,3603;0,4116;;
;;14,9;;;0,0014;10359
3450,5;3112,7;;0,3617;0,4131;;
;;14,9;;;0,0014;10568
3465,4;3128,4;;0,3632;0,4145;;
;;14,9;;;0,0014;10756
3480,4;3144,1;;0,3646;0,4159;;
;;14,9;;;0,0014;10881
3495,3;3159,8;;0,3659;0,4172;;
;;14,9;;;0,0014;10932
3510,2;3175,5;;0,3673;0,4186;;
;;14,9;;;0,0014;10910
3525,1;3191,2;;0,3687;0,42;;
;;14,9;;;0,0014;10845
3540,1;3206,9;;0,3701;0,4214;;
;;14,9;;;0,0014;10799
3555;3222,6;;0,3715;0,4227;;
;;14,9;;;0,0014;10777
3569,9;3238,3;;0,3729;0,4241;;
;;14,9;;;0,0014;10802
3584,8;3254;;0,3743;0,4255;;
